date,type,description
2006-06-11,WEEKEND,Sunday
2006-06-17,WEEKEND,Saturday
2006-06-18,WEEKEND,Sunday
2006-06-24,WEEKEND,Saturday
2006-06-25,WEEKEND,Sunday
2006-07-01,WEEKEND,Saturday
2006-07-02,WEEKEND,Sunday
2006-07-04,CLOSED,Independence Day
2006-07-08,WEEKEND,Saturday
2006-07-09,WEEKEND,Sunday
2006-07-15,WEEKEND,Saturday
2006-07-16,WEEKEND,Sunday
2006-07-22,WEEKEND,Saturday
2006-07-23,WEEKEND,Sunday
2006-07-29,WEEKEND,Saturday
2006-07-30,WEEKEND,Sunday
2006-08-05,WEEKEND,Saturday
2006-08-06,WEEKEND,Sunday
2006-08-12,WEEKEND,Saturday
2006-08-13,WEEKEND,Sunday
2006-08-19,WEEKEND,Saturday
2006-08-20,WEEKEND,Sunday
2006-08-26,WEEKEND,Saturday
2006-08-27,WEEKEND,Sunday
2006-09-02,WEEKEND,Saturday
2006-09-03,WEEKEND,Sunday
2006-09-04,CLOSED,Labor Day
2006-09-09,WEEKEND,Saturday
2006-09-10,WEEKEND,Sunday
2006-09-16,WEEKEND,Saturday
2006-09-17,WEEKEND,Sunday
2006-09-23,WEEKEND,Saturday
2006-09-24,WEEKEND,Sunday
2006-09-30,WEEKEND,Saturday
2006-10-01,WEEKEND,Sunday
2006-10-07,WEEKEND,Saturday
2006-10-08,WEEKEND,Sunday
2006-10-14,WEEKEND,Saturday
2006-10-15,WEEKEND,Sunday
2006-10-21,WEEKEND,Saturday
2006-10-22,WEEKEND,Sunday
2006-10-28,WEEKEND,Saturday
2006-10-29,WEEKEND,Sunday
2006-11-04,WEEKEND,Saturday
2006-11-05,WEEKEND,Sunday
2006-11-11,WEEKEND,Saturday
2006-11-12,WEEKEND,Sunday
2006-11-18,WEEKEND,Saturday
2006-11-19,WEEKEND,Sunday
2006-11-23,CLOSED,Thanksgiving Day
2006-11-25,WEEKEND,Saturday
2006-11-26,WEEKEND,Sunday
2006-12-02,WEEKEND,Saturday
2006-12-03,WEEKEND,Sunday
2006-12-09,WEEKEND,Saturday
2006-12-10,WEEKEND,Sunday
2006-12-16,WEEKEND,Saturday
2006-12-17,WEEKEND,Sunday
2006-12-23,WEEKEND,Saturday
2006-12-24,WEEKEND,Sunday
2006-12-25,CLOSED,Christmas Day
2006-12-30,WEEKEND,Saturday
2006-12-31,WEEKEND,Sunday
2007-01-01,CLOSED,New Year's Day
2007-01-06,WEEKEND,Saturday
2007-01-07,WEEKEND,Sunday
2007-01-13,WEEKEND,Saturday
2007-01-14,WEEKEND,Sunday
2007-01-20,WEEKEND,Saturday
2007-01-21,WEEKEND,Sunday
2007-01-27,WEEKEND,Saturday
2007-01-28,WEEKEND,Sunday
2007-02-03,WEEKEND,Saturday
2007-02-04,WEEKEND,Sunday
2007-02-10,WEEKEND,Saturday
2007-02-11,WEEKEND,Sunday
2007-02-17,WEEKEND,Saturday
2007-02-18,WEEKEND,Sunday
2007-02-24,WEEKEND,Saturday
2007-02-25,WEEKEND,Sunday
2007-03-03,WEEKEND,Saturday
2007-03-04,WEEKEND,Sunday
2007-03-10,WEEKEND,Saturday
2007-03-11,WEEKEND,Sunday
2007-03-17,WEEKEND,Saturday
2007-03-18,WEEKEND,Sunday
2007-03-24,WEEKEND,Saturday
2007-03-25,WEEKEND,Sunday
2007-03-31,WEEKEND,Saturday
2007-04-01,WEEKEND,Sunday
2007-04-07,WEEKEND,Saturday
2007-04-08,WEEKEND,Sunday
2007-04-14,WEEKEND,Saturday
2007-04-15,WEEKEND,Sunday
2007-04-21,WEEKEND,Saturday
2007-04-22,WEEKEND,Sunday
