date,type,description,key,source_module,observed_from,close_time,status
2024-10-11,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2024-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2024-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2024-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2024-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2025-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2025-01-28,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2025-01-29,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2025-01-30,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2025-01-31,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2025-04-04,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2025-04-18,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2025-04-21,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2025-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2025-05-05,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2025-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2025-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2025-10-07,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,,,CONFIRMED
2025-10-29,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2025-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2025-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2025-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2025-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2026-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2026-02-16,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2026-02-17,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2026-02-18,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2026-02-19,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2026-04-03,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2026-04-06,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,2026-04-05,,CONFIRMED
2026-04-07,CLOSED,The day following Easter Monday (Ching Ming Sunday 5 April observed Monday 6 April; Easter Monday moved on),hk_day_following_easter_monday,module:hk_easter_monday,,,CONFIRMED
2026-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2026-05-25,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,2026-05-24,,CONFIRMED
2026-06-19,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2026-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2026-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2026-10-19,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,2026-10-18,,CONFIRMED
2026-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2026-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2026-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2027-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2027-02-05,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2027-02-08,CLOSED,Lunar New Year (The third day of Lunar New Year),hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2027-02-09,CLOSED,Lunar New Year (The fourth day of Lunar New Year),hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2027-03-26,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2027-03-29,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2027-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2027-05-13,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2027-06-09,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2027-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2027-09-16,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,,,CONFIRMED
2027-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2027-10-08,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2027-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2027-12-27,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,2027-12-26,,CONFIRMED
2027-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
