date,type,description,key,source_module,observed_from,close_time,status
2017-07-17,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2017-08-11,CLOSED,Mountain Day,jp_mountain_day,module:jp_mountain_day,,,CONFIRMED
2017-09-18,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2017-10-09,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2017-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2017-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2018-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2018-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2018-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2018-01-08,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2018-02-12,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,2018-02-11,,CONFIRMED
2018-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2018-04-30,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,2018-04-29,,CONFIRMED
2018-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2018-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2018-07-16,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2018-09-17,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2018-09-24,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,2018-09-23,,CONFIRMED
2018-10-08,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2018-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2018-12-24,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,2018-12-23,,CONFIRMED
2018-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
